Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,nn
Crax blumenbachii,Red-billed Curassow,rebcur1,625223109,FALSE,Krushokko
Mitu tomentosum,Crestless Curassow,crecur2,317505041,FALSE,Elvehokko
Mitu mitu,Alagoas Curassow,alacur1,,FALSE,Alagoashokko
Mitu tuberosum,Razor-billed Curassow,rabcur2,559592971,FALSE,Kamnebbhokko
Mitu salvini,Salvin's Curassow,salcur1,629970995,FALSE,Loretohokko
Pauxi unicornis,Horned Curassow,horcur3,534805601,FALSE,
Pauxi koepckeae,Sira Curassow,horcur2,32320171,FALSE,Sirahokko
Pauxi pauxi,Helmeted Curassow,helcur1,63667,FALSE,
Arborophila crudigularis,Taiwan Partridge,taipar1,39795,FALSE,Taiwanhøne
Arborophila mandellii,Chestnut-breasted Partridge,chbpar2,239603,FALSE,Bhutanhøne
Arborophila brunneopectus,Bar-backed Partridge,babpar1,113529,FALSE,Laohøne
Arborophila rufipectus,Sichuan Partridge,sicpar1,637394890,FALSE,Sichuanhøne
Arborophila gingica,Collared Partridge,whnpar2,48693791,FALSE,Kvitpannehøne
Arborophila davidi,Orange-necked Partridge,ornpar1,569348161,FALSE,Vietnamhøne
Arborophila cambodiana,Chestnut-headed Partridge,chhpar1,630487371,FALSE,Khmerhøne
Arborophila campbelli,Malay Partridge,gybpar3,203886611,FALSE,Malayhøne
Arborophila rolli,Tan-breasted Partridge,gybpar5,175504,FALSE,Batakhøne
Arborophila sumatrana,Sumatran Partridge,gybpar6,491844231,FALSE,
Arborophila orientalis,White-faced Partridge,gybpar4,181897,FALSE,
Arborophila javanica,Chestnut-bellied Partridge,chbpar1,647027343,FALSE,Javahøne
Arborophila rubrirostris,Red-billed Partridge,rebpar3,642820203,FALSE,Raudnebbhøne
Arborophila hyperythra,Bornean Partridge,rebpar5,203956931,FALSE,Borneohøne
Arborophila ardens,Hainan Partridge,haipar1,609066009,FALSE,Hainanhøne
Arborophila chloropus,Green-legged Partridge,,,FALSE,Grønbeinhøne
Arborophila tonkinensis,Tonkin Partridge,,,FALSE,
Arborophila charltonii,Chestnut-necklaced Partridge,chnpar1,621122731,FALSE,
Arborophila graydoni,Sabah Partridge,chnpar3,642338035,FALSE,
Rhizothera longirostris,Long-billed Partridge,lobpar3,181633331,FALSE,
Rhizothera dulitensis,Dulit Partridge,lobpar2,,FALSE,
Melanoperdix niger,Black Partridge,blapar2,629033581,FALSE,Svarthøne
Haematortyx sanguiniceps,Crimson-headed Partridge,crhpar1,609672173,FALSE,Karminhovudhøne
Caloperdix oculea,Ferruginous Partridge,ferpar2,600452771,FALSE,Rusthøne
Galloperdix spadicea,Red Spurfowl,redspu1,349354171,FALSE,Raudsporehøne
Galloperdix lunulata,Painted Spurfowl,paispu1,207089521,FALSE,Perlesporehøne
Galloperdix bicalcarata,Sri Lanka Spurfowl,ceyspu1,203990571,FALSE,Dråpesporehøne
Afropavo congensis,Congo Peafowl,conpea1,519903871,FALSE,Kongopåfugl
Pavo cristatus,Indian Peafowl,compea,91301711,TRUE,Indiapåfugl
Pavo muticus,Green Peafowl,grepea1,609104061,FALSE,Smaragdpåfugl
Argusianus argus,Great Argus,grearg1,203944171,TRUE,Argusfasan
Rheinardia ocellata,Crested Argus,crearg1,609069136,FALSE,
R. o. nigrescens,Malaysian Argus,,,FALSE,
Polyplectron napoleonis,Palawan Peacock-pheasant,palpep1,212042841,FALSE,Påfuglfasan
Polyplectron malacense,Malay Peacock-pheasant,mapphe1,36637,FALSE,
Polyplectron schleiermacheri,Bornean Peacock-pheasant,bopphe1,522860261,FALSE,Smaragdfasan
Polyplectron germaini,Germain's Peacock-pheasant,gepphe1,204023661,FALSE,Plettfasan
Polyplectron katsumatae,Hainan Peacock-pheasant,grypep3,613345194,FALSE,Hainanfasan
Polyplectron bicalcaratum,Grey Peacock-pheasant,grypep2,628409328,FALSE,
Polyplectron inopinatum,Mountain Peacock-pheasant,mopphe1,174378541,FALSE,Perlefasan
Polyplectron chalcurum,Bronze-tailed Peacock-pheasant,btpphe1,640131691,FALSE,Brunfasan
Margaroperdix madagarensis,Madagascar Partridge,madpar2,95730,FALSE,Paljetthøne
Coturnix coturnix,Common Quail,comqua1,204001791,FALSE,
Coturnix japonica,Japanese Quail,japqua,308522651,FALSE,Engvaktel
Coturnix coromandelica,Rain Quail,raiqua1,204026791,FALSE,Regnvaktel
Coturnix delegorguei,Harlequin Quail,harqua1,55993,FALSE,Harlekinvaktel
Coturnix pectoralis,Stubble Quail,stuqua1,73173471,TRUE,
†Coturnix novaezelandiae,New Zealand Quail,nezqua1,,FALSE,
Synoicus ypsilophorus,Brown Quail,broqua1,295926801,FALSE,Sumpvaktel
Synoicus chinensis,Asian Blue Quail,blbqua1,385061761,FALSE,
Synoicus adansonii,African Blue Quail,bluqua1,,FALSE,Afrikablåvaktel
Anurophasis monorthonyx,Snow Mountain Quail,snmqua2,,FALSE,Kjempevaktel
Tetraogallus caucasicus,Caucasian Snowcock,causno1,155121691,FALSE,Kaukasushøne
Tetraogallus caspius,Caspian Snowcock,cassno1,634394698,FALSE,Kurdistanhøne
Tetraogallus himalayensis,Himalayan Snowcock,himsno,601383721,FALSE,Himalayahøne
Tetraogallus tibetanus,Tibetan Snowcock,tibsno1,483108811,FALSE,Tibethøne
Tetraogallus altaicus,Altai Snowcock,altsno1,639220722,FALSE,Altaihøne
Alectoris graeca,Rock Partridge,rocpar2,203977601,FALSE,
Alectoris chukar,Chukar,chukar,210513,FALSE,Berghøne
Alectoris magna,Przevalski's Partridge,przpar1,60496,FALSE,Qinghaihøne
Alectoris philbyi,Philby's Partridge,phipar1,203934401,FALSE,Svartstrupehøne
Alectoris barbara,Barbary Partridge,barpar2,143882821,FALSE,Berberhøne
Alectoris rufa,Red-legged Partridge,relpar1,526100581,TRUE,Raudhøne
Alectoris melanocephala,Arabian Partridge,arapar1,480127751,FALSE,Arabarhøne
Lerwa lerwa,Snow Partridge,snopar1,517723441,FALSE,Sherpahøne
Ammoperdix griseogularis,See-see Partridge,sespar1,108033921,FALSE,Sisihøne
Ammoperdix heyi,Sand Partridge,sanpar1,203694431,FALSE,Beduinhøne
Perdicula asiatica,Jungle Bush-quail,jubqua1,268669171,FALSE,
Perdicula argoondah,Rock Bush-quail,robqua1,625833475,FALSE,Slettevaktel
Perdicula erythrorhyncha,Painted Bush-quail,pabqua1,394824171,FALSE,Kvitstrupevaktel
Perdicula manipurensis,Manipur Bush-quail,mabqua1,,FALSE,Manipurvaktel
Ophrysia superciliosa,Himalayan Quail,himqua1,,FALSE,
Pternistis hartlaubi,Hartlaub's Francolin,harfra3,203933311,FALSE,Steinfrankolin
Pternistis bicalcaratus,Double-spurred Francolin,dosfra2,643643301,FALSE,Kvitbrynfrankolin
Pternistis icterorhynchus,Heuglin's Francolin,heufra1,467007011,FALSE,Termittfrankolin
Pternistis clappertoni,Clapperton's Francolin,clafra1,33651871,FALSE,Savannefrankolin
Pternistis harwoodi,Harwood's Francolin,harfra4,204006921,FALSE,Dunkjevlefrankolin
NUMIDIDAE,Guineafowl,,,FALSE,
Numida meleagris,Helmeted Guineafowl,helgui,203933171,FALSE,Hjelmperlehøne
N. m. galeatus,West African Guineafowl,,,FALSE,
Agelastes meleagrides,White-breasted Guineafowl,whbgui1,,FALSE,Kvitbrystperlehøne
Agelastes niger,Black Guineafowl,blagui1,565534711,FALSE,Svartperlehøne
Acryllium vulturinum,Vulturine Guineafowl,vulgui1,645270670,FALSE,Gribbperlehøne
Guttera plumifera,Plumed Guineafowl,plugui1,629897712,FALSE,Bustperlehøne
Guttera verreauxi,Western Crested Guineafowl,cregui2,591043601,FALSE,
Guttera pucherani,Eastern Crested Guineafowl,cregui3,176795,FALSE,
Guttera edouardi,Southern Crested Guineafowl,cregui4,206411171,FALSE,
ODONTOPHORIDAE,New World Quails,,,FALSE,
Ptilopachus petrosus,Stone Partridge,stopar1,203911811,FALSE,Klatrehøne
Ptilopachus nahani,Nahan's Partridge,nahfra2,166731461,FALSE,Iturihøne
Philortyx fasciatus,Barred Quail,banqua1,325304401,FALSE,Bandvaktel
Oreortyx pictus,Mountain Quail,mouqua,42202,TRUE,Spirvaktel
Colinus virginianus,Northern Bobwhite,norbob,92708151,TRUE,
C. v. ridgwayi,Masked Bobwhite,,,FALSE,
Colinus nigrogularis,Black-throated Bobwhite,bltbob1,173680121,FALSE,Mayakrattvaktel
Colinus leucopogon,Spot-bellied Bobwhite,crebob2,211115,FALSE,
Colinus cristatus,Crested Bobwhite,crebob1,64102,FALSE,
Callipepla squamata,Scaled Quail,scaqua,452435231,TRUE,Skjelvaktel
Callipepla douglasii,Elegant Quail,elequa,109166,FALSE,Sinaloavaktel
Callipepla gambelii,Gambel's Quail,gamqua,435382461,FALSE,Svartbukvaktel
Callipepla californica,California Quail,calqua,111018,TRUE,Kaliforniavaktel
Dendrortyx barbatus,Bearded Wood-partridge,bewpar1,333371541,FALSE,Gråstrupeskogvaktel
Dendrortyx macroura,Long-tailed Wood-partridge,ltwpar1,125230411,FALSE,Svartstrupeskogvaktel
Dendrortyx leucophrys,Buffy-crowned Wood-partridge,bcwpar1,94099921,FALSE,Kvitstrupeskogvaktel
Odontophorus gujanensis,Marbled Wood-quail,mawqua1,64113,FALSE,Bruntannvaktel
Odontophorus capueira,Spot-winged Wood-quail,swwqua1,598288201,FALSE,Gråtannvaktel
Odontophorus melanotis,Black-eared Wood-quail,bewqua1,616447048,FALSE,Svartkinntannvaktel
Odontophorus erythrops,Rufous-fronted Wood-quail,rfwqua1,609684320,FALSE,Svartkinntannvaktel
Odontophorus atrifrons,Black-fronted Wood-quail,bfwqua1,167188,FALSE,Masketannvaktel
Odontophorus hyperythrus,Chestnut Wood-quail,chwqua1,198748961,FALSE,Kastanjetannvaktel
Odontophorus melanonotus,Dark-backed Wood-quail,dbwqua1,609501576,FALSE,Mørkryggtannvaktel
Odontophorus speciosus,Rufous-breasted Wood-quail,rbwqua1,203934101,FALSE,Rustbrysttannvaktel
Odontophorus dialeucos,Tacarcuna Wood-quail,tawqua1,452616671,FALSE,Tacarcunatannvaktel
Odontophorus strophium,Gorgeted Wood-quail,gowqua1,440400661,FALSE,
Odontophorus columbianus,Venezuelan Wood-quail,venwoq1,363999931,FALSE,Venezuelatannvaktel
Odontophorus leucolaemus,Black-breasted Wood-quail,bbwqua1,219829,FALSE,Svartbrysttannvaktel
Odontophorus balliviani,Stripe-faced Wood-quail,sfwqua1,101629,FALSE,Diamanttannvaktel
Odontophorus stellatus,Starred Wood-quail,stwqua1,628325894,FALSE,Stjernetannvaktel
Odontophorus guttatus,Spotted Wood-quail,spwqua1,46235351,FALSE,Flekktannvaktel
Rhynchortyx cinctus,Tawny-faced Quail,tafqua1,158174131,FALSE,Gråbrystvaktel
Dactylortyx thoracicus,Singing Quail,sinqua1,164257101,FALSE,Songvaktel
Cyrtonyx montezumae,Montezuma Quail,monqua,112164341,FALSE,Aztekvaktel
Cyrtonyx sallei,Spot-breasted Quail,,,FALSE,
Cyrtonyx ocellatus,Ocellated Quail,ocequa1,615632768,FALSE,Zapotekvaktel
PHASIANIDAE,Pheasant Partridges Turkeys Grouse,,,FALSE,
Xenoperdix udzungwensis,Udzungwa Forest-partridge,udzpar1,622600517,FALSE,Udzungwahøne
Rollulus rouloul,Crested Partridge,crepar1,638129660,FALSE,Eldviftehøne
Arborophila torqueola,Hill Partridge,hilpar1,203904591,FALSE,Rustkronehøne
Arborophila rufogularis,Rufous-throated Partridge,rutpar1,53422071,FALSE,Ruststrupehøne
Arborophila atrogularis,White-cheeked Partridge,whcpar1,625783668,FALSE,Kvitskjegghøne
Pternistis adspersus,Red-billed Francolin,rebfra1,610365051,FALSE,Brillefrankolin
Pternistis capensis,Cape Francolin,capfra2,626936401,FALSE,Kappfrankolin
Pternistis natalensis,Natal Francolin,natfra2,310145,FALSE,Shonafrankolin
Pternistis hildebrandti,Hildebrandt's Francolin,hilfra2,310143,FALSE,Bergfrankolin
Pternistis ahantensis,Ahanta Francolin,ahafra2,203959911,FALSE,Ashantifrankolin
Pternistis squamatus,Scaly Francolin,scafra2,549877451,FALSE,Skuggefrankolin
Pternistis griseostriatus,Grey-striped Francolin,gysfra1,397988251,FALSE,Angolafrankolin
Pternistis leucoscepus,Yellow-necked Francolin,yenspu1,323820841,FALSE,Gulstrupefrankolin
Pternistis rufopictus,Grey-breasted Francolin,gybfra1,2663,FALSE,Serengetifrankolin
Pternistis afer,Red-necked Francolin,renfra1,94194,FALSE,Raudstrupefrankolin
Pternistis swainsonii,Swainson's Francolin,swafra2,275167,FALSE,Svartbeinfrankolin
Pternistis jacksoni,Jackson's Francolin,jacfra2,619037911,FALSE,Kikuyufrankolin
Pternistis nobilis,Handsome Francolin,hanfra2,26318,FALSE,Edelfrankolin
Pternistis camerunensis,Mount Cameroon Francolin,camfra2,310138,FALSE,Kamerunfrankolin
Pternistis swierstrai,Swierstra's Francolin,swifra2,207146371,FALSE,Svartbrystfrankolin
Pternistis castaneicollis,Chestnut-naped Francolin,chnfra2,569512901,FALSE,Kastanjefrankolin
Pternistis atrifrons,Black-fronted Francolin,,,FALSE,
Pternistis erckelii,Erckel's Francolin,ercfra,5191,FALSE,Storfrankolin
Pternistis ochropectus,Djibouti Francolin,djifra1,,FALSE,Djiboutifrankolin
Francolinus francolinus,Black Francolin,blkfra,5262,FALSE,Halsbandfrankolin
Francolinus pictus,Painted Francolin,paifra1,245559311,FALSE,Hindufrankolin
Francolinus pintadeanus,Chinese Francolin,chifra1,203912731,FALSE,Perlefrankolin
Francolinus pondicerianus,Grey Francolin,,,FALSE,Gråfrankolin
Francolinus gularis,Swamp Francolin,swafra1,617478192,FALSE,Sumpfrankolin
Dendroperdix sephaena,Crested Francolin,crefra2,203935661,FALSE,Krattfrankolin
Peliperdix coqui,Coqui Francolin,coqfra2,277029611,FALSE,
Peliperdix albogularis,White-throated Francolin,whtfra2,203974361,FALSE,Kvitstrupefrankolin
Peliperdix schlegelii,Schlegel's Francolin,schfra2,310774,FALSE,Isoberiniafrankolin
Peliperdix lathami,Latham's Francolin,forfra2,203911761,FALSE,Skogfrankolin
Scleroptila streptophora,Ring-necked Francolin,rinfra2,381524691,FALSE,Kragefrankolin
Scleroptila leivaillantii,Red-winged Francolin,rewfra2,369073831,FALSE,
Scleroptila afra,Grey-winged Francolin,gywfra1,609008514,FALSE,
Scleroptila finschi,Finsch's Francolin,finfra2,625744317,FALSE,Cuanzafrankolin
Scleroptila psilolaema,Moorland Francolin,moofra2,31365811,FALSE,
Scleroptila elgonensis,Elgon Francolin,moofra3,274754931,FALSE,
Scleroptila shelleyi,Shelley's Francolin,shefra1,559895751,FALSE,
Scleroptila whytei,Whyte's Francolin,shefra3,277097,FALSE,
Scleroptila gutturalis,Orange River Francolin,orrfra2,510309801,FALSE,Grasfrankolin
Bambusicola fytchii,Mountain Bamboo-partridge,mobpar1,53420721,FALSE,Burmabambushøne
Bambusicola thoracicus,Chinese Bamboo-partridge,chbpar3,48693961,FALSE,
Bambusicola sonorivox,Taiwan Bamboo-partridge,taibap1,203928081,FALSE,Taiwanhøne
Gallus gallus,Red Junglefowl,redjun,203917071,TRUE,Bankivahane
Gallus sonneratii,Grey Junglefowl,grejun2,219526241,FALSE,Brokadehane
Gallus lafayetii,Sri Lanka Junglefowl,ceyjun1,223436,FALSE,Flammehane
Gallus varius,Green Junglefowl,grejun1,199794101,FALSE,Paradishane
Tetraophasis obscurus,Chestnut-throated Partridge,verpar1,335063,FALSE,Brunstrupehøne
Tetraophasis szechenyii,Buff-throated Partridge,szepar1,356505841,FALSE,Gulstrupehøne
Lophophorus impejanus,Himalayan Monal,himmon1,182618261,TRUE,Glansfasan
Lophophorus sclateri,Sclater's Monal,sclmon1,485571991,FALSE,Bronsefasan
Lophophorus lhuysii,Chinese Monal,chimon1,30554891,FALSE,Regnbogefasan
Tragopan melanocephalus,Western Tragopan,westra1,618952577,FALSE,Juvelfasan
Tragopan satyra,Satyr Tragopan,sattra1,633595716,TRUE,Satyrfasan
Tragopan blythii,Blyth's Tragopan,blytra1,650866542,FALSE,Rubinfasan
