Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,et
Centropus spilopterus,Kai Coucal,,,FALSE,
Rhinortha chlorophaea,Raffles's Malkoha,rafmal1,541541851,FALSE,ruske-malkohakägu
Ceuthmochares aereus,Chattering Yellowbill,yellow5,434335841,FALSE,aafrika malkohakägu
Ceuthmochares australis,Whistling Yellowbill,yellow6,211153291,FALSE,
Taccocua leschenaultii,Sirkeer Malkoha,sirmal1,371776741,FALSE,leet-malkohakägu
Zanclostomus javanicus,Red-billed Malkoha,rebmal2,626123229,FALSE,puna-malkohakägu
Phaenicophaeus pyrrhocephalus,Red-faced Malkoha,refmal1,223439,FALSE,valgekõht-malkohakägu
Phaenicophaeus viridirostris,Blue-faced Malkoha,blfmal1,276002481,FALSE,prill-malkohakägu
Phaenicophaeus diardi,Black-bellied Malkoha,blbmal1,71314,FALSE,mustkõht-malkohakägu
Phaenicophaeus sumatranus,Chestnut-bellied Malkoha,chbmal1,391945241,FALSE,pruunkõht-malkohakägu
Phaenicophaeus tristis,Green-billed Malkoha,grbmal1,204016461,FALSE,händ-malkohakägu
Phaenicophaeus curvirostris,Chestnut-breasted Malkoha,chbmal2,616241705,FALSE,helk-malkohakägu
Phaenicophaeus oeneicaudus,Mentawai Malkoha,chbmal3,101923871,FALSE,mentawai malkohakägu
Dasylophus superciliosus,Red-crested Malkoha,recmal1,202345281,FALSE,tutt-malkohakägu
Lepidogrammus cumingi,Scale-feathered Malkoha,scfmal1,282684261,FALSE,soomus-malkohakägu
Rhamphococcyx calyorhynchus,Yellow-billed Malkoha,yebmal1,640716477,FALSE,sulawesi malkohakägu
Cuculus poliocephalus,Lesser Cuckoo,lescuc1,168997341,FALSE,väikekägu
Cuculus rochii,Madagascar Cuckoo,madcuc1,203951991,FALSE,madagaskari väikekägu
Hypotaenidia torquata,Barred Rail,barrai1,203893411,FALSE,kriimruik
Hypotaenidia insignis,New Britail Rail,,,FALSE,uusbritannia ruik
†Hypotaenidia poeciloptera,Bar-winged Rail,bawrai1,,FALSE,
Hypotaenidia tertia,Bougainville Rail,,,FALSE,
Hypotaenidia immaculata,Santa Isabel Rail,,,FALSE,
Hypotaenidia woodfordi,Guadalcanal Rail,,,FALSE,tumeruik
Hypotaenidia rovianae,Roviana Rail,rovrai1,,FALSE,kitikete-ruik
Hypotaenidia owstoni,Guam Rail,guarai1,533472181,FALSE,guami ruik
†Hypotaenidia wakensis,Wake Rail,,,FALSE,
†Hypotaenidia dieffenbachii,Dieffenbach's Rail,dierai1,,FALSE,
Hypotaenidia sylvestris,Lord Howe Woodhen,,,FALSE,pruunruik
Hypotaenidia philippensis,Buff-banded Rail,bubrai1,275668211,FALSE,
†Hypotaenidia pacifica,Tahiti Rail,tahrai1,,FALSE,
Dryolimnas cuvieri,White-throated Rail,whtrai1,93687,FALSE,valgekurk-ruik
†Dryolimnas augusti,Reunion Rail,reurai1,,FALSE,
Crex egregia,African Crake,afrcra1,81483851,FALSE,savannirääk
Crex crex,Corncrake,corcra,237871791,FALSE,Rukkirääk
Rougetius rougetii,Rouget's Rail,rourai1,642157786,FALSE,etioopia ruik
Mundia elpenor,St Helena Crake,asccra1,,FALSE,ascensioni ruik
†Atlantisia podarces,Inaccessible Rail,,,FALSE,
Atlantisia rogersi,Inaccessible Rail,,,FALSE,hiirruik
Aramides ypecaha,Giant Wood-rail,giwrai1,173660121,FALSE,suur-võsaruik
Aramides wolfi,Brown Wood-rail,brwrai1,650930550,FALSE,pruun-võsaruik
Aramides mangle,Little Wood-rail,liwrai1,235037781,FALSE,väike-võsaruik
Aramides cajaneus,Grey-necked Wood-rail,gycwor1,2306,FALSE,hallkael-võsaruik
Aramides axillaris,Rufous-necked Wood-rail,rnwrai1,132338891,FALSE,rand-võsaruik
Aramides calopterus,Red-winged Wood-rail,rwwrai1,,FALSE,amasoonia võsaruik
Aramides saracura,Slaty-breasted Wood-rail,sbwrai1,408793251,FALSE,rohenokk-võsaruik
Amaurolimnas concolor,Uniform Crake,unicra1,203931831,FALSE,loduruik
Cyanolimnas cerverai,Zapata Rail,zaprai1,,FALSE,kuuba huik
Neocrex colombiana,Colombian Crake,colcra2,,FALSE,kolumbia huik
Neocrex erythrops,Paint-billed Crake,pabcra,281088611,FALSE,
Pardirallus maculatus,Spotted Rail,sporai,486677801,FALSE,kirjuhuik
Pardirallus nigricans,Blackish Rail,blarai1,323816731,FALSE,soo-kilthuik
Pardirallus sanguinolentus,Plumbeous Rail,plurai1,31909,FALSE,roo-kilthuik
Gymnocrex rosenbergii,Bald-faced Rail,bafrai2,,FALSE,sulawesi maskruik
Gymnocrex talaudensis,Talaud Rail,talrai1,,FALSE,
Gymnocrex plumbeiventris,Bare-eyed Rail,baerai1,182359,FALSE,paapua maskruik
Hapalocrex flaviventer,Yellow-breasted Crake,yebcra1,84256751,FALSE,koldrind-huik
Porzana fasciata,Black-banded Crake,blbcra1,31399941,FALSE,soo-rägaruik
Porzana spiloptera,Dot-winged Crake,dowcra1,612246615,FALSE,pampahuik
Porzana albicollis,Ash-throated Crake,astcra1,99135181,FALSE,tärinhuik
Porzana carolina,Sora,sora,234407911,FALSE,ameerika huik
Porzana porzana,Spotted Crake,spocra1,252565531,FALSE,Täpikhuik
Porzana fluminea,Australian Crake,auscra1,193897861,FALSE,austraalia huik
Zapornia fusca,Ruddy-breasted Crake,rubcra1,643602129,FALSE,kaneelhuik
Zapornia paykullii,Band-bellied Crake,babcra1,44671811,FALSE,mandariinhuik
Zapornia akool,Brown Crake,brocra1,626690358,FALSE,pruunhuik
Zapornia flavirostra,Black Crake,blacra1,203935551,FALSE,musthuik
Zapornia parva,Little Crake,litcra1,311053011,FALSE,Väikehuik
Zapornia pusilla,Baillon's Crake,baicra1,483230031,FALSE,värbhuik
†Zapornia astrictocarpus,St Helena Rail,,,FALSE,
†Zapornia palmeri,Laysan Rail,layrai,,FALSE,
Zapornia olivieri,Sakalava Rail,sakrai1,203985871,FALSE,sakalava huik
Zapornia bicolor,Black-tailed Crake,bltcra1,203925461,FALSE,mustsaba-huik
†Zapornia sandwichensis,Hawaiian Rail,hawrai,,FALSE,
†Zapornia nigra,Miller's Rail,milrai1,,FALSE,
Zapornia atra,Henderson Crake,heicra1,203895361,FALSE,nõgihuik
Zapornia tabuensis,Spotless Crake,spocra2,203999161,TRUE,putoto-huik
†Zapornia monasa,Kosrae Crake,koscra1,,FALSE,
Amaurornis isabellina,Isabelline Bush-hen,isabuh1,204012791,FALSE,ruugehuik
Amaurornis olivacea,Plain Bush-hen,plabuh1,30137171,FALSE,filipiini tõmmuhuik
Amaurornis magnirostris,Talaud Bush-hen,talbuh1,203893281,FALSE,
Amaurornis moluccana,Pale-vented Bush-hen,rutbuh1,203886861,FALSE,lõuna-tõmmuhuik
Amaurornis phoenicurus,White-breasted Waterhen,whbwat1,596624031,FALSE,valgerind-huik
Amaurornis cinerea,White-browed Crake,whbcra1,346434421,FALSE,valjashuik
Amaurornis marginalis,Striped Crake,strcra1,650574370,FALSE,Täpikhuik
Megacrex inepta,New Guinea Flightless Rail,ngfrai1,,FALSE,paapua jooksuhuik
Gallicrex cinerea,Watercock,waterc1,369434801,FALSE,sarviktait
Porphyrio porphyrio,Purple Swamphen,purswa1,356004491,FALSE,sultantait
P. p. madagascariensis,African Swamphen,purswa2,137584541,FALSE,
P. p. poliocephalus,Grey-headed Swamphen,,,FALSE,
†Porphyrio albus,White Swamphen,,,FALSE,
†Porphyrio paepae,Marquesan Swamphen,marswa1,,FALSE,
†Porphyrio kukwiedei,New Caledonia Gallinule,,,FALSE,
GRUIFORMES,,,,FALSE,
HELIORNITHIDAE,Finfoots,,,FALSE,
Podica senegalensis,African Finfoot,afrfin1,618612784,FALSE,aafrika redulind
Heliopais personata,Masked Finfoot,masfin3,,FALSE,aasia redulind
Heliornis fulica,Sungrebe,sungre1,203988221,TRUE,ameerika redulind
RALLIDAE,Rails Gallinules Coots,,,FALSE,
Sarothrura pulchra,White-spotted Flufftail,whsflu1,203965051,FALSE,täpikpirk
Sarothrura elegans,Buff-spotted Flufftail,busflu1,177489191,FALSE,võsapirk
Sarothrura rufa,Red-chested Flufftail,recflu1,177489341,FALSE,padupirk
Sarothrura lugens,Chestnut-headed Flufftail,chhflu1,24891,FALSE,valgekurk-pirk
Sarothrura boehmi,Streaky-breasted Flufftail,stbflu1,296704481,FALSE,rohupirk
Sarothrura affinis,Striped Flufftail,strflu1,575772991,FALSE,triippirk
Sarothrura insularis,Madagascar Flufftail,madflu1,506168581,FALSE,madagaskari pirk
Sarothrura ayresi,White-winged Flufftail,whwflu1,,FALSE,valgetiib-pirk
Sarothrura watersi,Slender-billed Flufftail,slbflu1,97586,FALSE,kaislapirk
Himantornis haematopus,Nkulengu Rail,nkurai1,203974551,FALSE,kurgruik
Canirallus oculeus,Grey-throated Rail,gytrai1,613658922,FALSE,aafrika metsruik
Mentocrex kioloides,Madagascar Wood-rail,madwor1,506168051,FALSE,madagaskari metsruik
Mentocrex beankaensis,Tsingy Wood-rail,tsiwor1,,FALSE,
Rallicula rubra,Chestnut Forest-rail,chfrai1,609065712,FALSE,puna-metsruik
Rallicula leucospila,White-striped Forest-rail,wsfrai1,203997101,FALSE,viirsaba-metsruik
Rallicula forbesi,Forbes's Forest-rail,forrai1,100546,FALSE,mägi-metsruik
Rallicula mayri,Mayr's Forest-rail,mayrai1,139541,FALSE,ruske-metsruik
Rallina tricolor,Red-necked Crake,rencra1,480338501,FALSE,tõmmu-metsruik
Rallina canningi,Andaman Crake,andcra1,224649011,FALSE,andamani metsruik
Rallina fasciata,Red-legged Crake,relcra1,599026891,FALSE,punajalg-metsruik
Rallina eurizonoides,Slaty-legged Crake,sllcra1,203895951,FALSE,vööt-metsruik
Coturnicops exquisitus,Swinhoe's Rail,swirai1,31429111,FALSE,väike-vuttruik
Coturnicops noveboracensis,Yellow Rail,yelrai,128195241,FALSE,kold-vuttruik
Coturnicops notatus,Speckled Rail,sperai1,166734,FALSE,tume-vuttruik
Micropygia schomburgkii,Ocellated Crake,ocecra1,424945081,FALSE,helmes-vuttruik
Rufirallus castaneiceps,Chestnut-headed Crake,chhcra1,203999581,FALSE,mets-rägaruik
Rufirallus viridis,Russet-crowned Crake,ruccra1,203931201,FALSE,väike-rägaruik
Laterallus melanophaius,Rufous-sided Crake,ruscra1,161530141,FALSE,lõuna-pisiruik
Laterallus levraudi,Rusty-flanked Crake,rufcra2,454845621,FALSE,venetsueela pisiruik
Laterallus ruber,Ruddy Crake,rudcra1,224201931,FALSE,puna-pisiruik
Laterallus albigularis,White-throated Crake,whtcra1,78967391,FALSE,kolumbia pisiruik
Laterallus exilis,Grey-breasted Crake,grbcra1,203932211,FALSE,hallrind-pisiruik
Laterallus jamaicensis,Black Rail,blkrai,49998091,TRUE,tõmmu-pisiruik
Laterallus tuerosi,Junin Rail,,,FALSE,vöötselg-pisiruik
Laterallus spilonota,Galapagos Rail,galrai1,203698271,FALSE,galápagose pisiruik
Laterallus leucopyrrhus,Red-and-white Crake,rawcra1,609184339,FALSE,paraná pisiruik
Laterallus xenopterus,Rufous-faced Crake,rufcra1,499624321,FALSE,kampo-pisiruik
Rallus longirostris,Mangrove Rail,manrai1,406587451,FALSE,klaperruik (rand-klaperruik)
Rallus tenuirostris,Mexican Rail,kinrai2,470683061,FALSE,asteegi ruik
Rallus obsoletus,Ridgway's Rail,ridrai1,323622841,FALSE,kalifornia ruik
Rallus elegans,King Rail,kinrai4,457670641,TRUE,suur-klaperruik
Rallus crepitans,Clapper Rail,clarai11,30326001,FALSE,klaperruik
Rallus wetmorei,Plain-flanked Rail,plfrai1,647207695,FALSE,mangrooviruik
Rallus limicola,Virginia Rail,virrai,45633,TRUE,paduruik
Rallus semiplumbeous,Bogota Rail,bograi1,621180909,FALSE,mägiruik
Rallus antarcticus,Austral Rail,ausrai1,28617701,FALSE,patagoonia ruik
Rallus aquaticus,Western Water Rail,watrai1,203920771,FALSE,rooruik
Rallus indicus,Eastern Water Rail,bncrai1,620128113,FALSE,
Rallus caerulescens,African Rail,afrrai1,46083,FALSE,aafrika rooruik
Rallus madagascariensis,Madagascar Rail,madrai1,360288161,FALSE,madagaskari rooruik
Aramidopsis plateni,Snoring Rail,plarai1,627891546,FALSE,norskruik
Lewinia striata,Slaty-breasted Rail,slbrai1,375152391,FALSE,punapea-ruik
Lewinia mirifica,Brown-banded Rail,luzrai1,,FALSE,luzoni väikeruik
Lewinia pectoralis,Lewin's Rail,lewrai1,27017081,FALSE,väikeruik
Lewinia muelleri,Auckland Rail,auirai1,,FALSE,aucklandi väikeruik
Habroptila wallacii,Drummer Rail,,,FALSE,halmahera jooksuhuik
Gallirallus calayanensis,Calayan Rail,calrai1,203997481,FALSE,calayani ruik
Gallirallus lafresnayanus,New Caledonian Rail,necrai1,,FALSE,uuskaledoonia ruik
Gallirallus australis,Weka,weka1,117428871,TRUE,veeka (veekaruik)
†Diaphorapteryx hawkinsi,Hawkins's Rail,hawrai1,,FALSE,
†Aphanapteryx bonasia,Red Rail,redrai1,,FALSE,
†Erythromachus leguati,Rodrigues Rail,rodrai1,,FALSE,
Eulabeornis castaneoventris,Chestnut Rail,cherai1,620592500,FALSE,hiidhuik
†Cabalus modestus,Chatam Rail,,,FALSE,
Hypotaenidia okinawae,Okinawa Rail,okirai1,203896011,FALSE,okinawa ruik
Ardeotis australis,Australian Bustard,ausbus1,622865585,FALSE,austraalia trapp
Houbaropsis bengalensis,Bengal Florican,benflo2,616731084,TRUE,bengali trapp
Sypheotides indicus,Lesser Florican,lesflo2,109115121,FALSE,tutt-trapp
Lophotis savilei,Savile's Bustard,savbus1,145542981,FALSE,sudaani viletrapp
Lophotis gindiana,Buff-crested Bustard,bucbus1,615535305,FALSE,ida-viletrapp
Lophotis ruficrista,Red-crested Bustard,recbus1,582445171,FALSE,viletrapp
Heterotetrax vigorsii,Karoo Bustard,karbus1,208765711,FALSE,karoo trapp
Heterotetrax rueppellii,Rüppell's Bustard,ruebus1,203936711,FALSE,
Heterotetrax humilis,Little Brown Bustard,libbus1,635023062,FALSE,somaali trapp
Afrotis afra,Southern Black Bustard,blabus3,624906351,FALSE,musttrapp
Afrotis afraoides,Northern Black Bustard,whqbus1,194118891,FALSE,peegeltrapp
Eupodotis senegalensis,White-bellied Bustard,whbbus2,611584708,FALSE,ruugetrapp
Eupodotis caerulescens,Blue Bustard,blubus1,208763191,FALSE,sinitrapp
†Porphyrio caerulescens,Reunion Gallinule,reugal1,,FALSE,
†Porphyrio mantelli,Takahe,,,FALSE,
Porphyrio hochstetteri,South Island Takahe,takahe3,212043711,TRUE,takahe (lõuna-sultantait)
Porphyrio alleni,Allen's Gallinule,allgal1,649798707,FALSE,aafrika sultantait
Porphyrio martinicus,Purple Gallinule,purgal2,65208011,TRUE,koldjalg-sultantait
Porphyrio flavirostris,Azure Gallinule,azugal1,541223001,FALSE,hele-sultantait
Pareudiastes silvestris,Makira Moorhen,sacmoo1,,FALSE,makira metstait
Pareudiastes pacificus,Samoan Moorhen,sammoo1,,FALSE,samoa metstait
†Gallinula nesiotis,Tristan Moorhen,trimoo2,,FALSE,
Gallinula corneri,Gough Moorhen,trimoo3,204732,FALSE,
Gallinula chloropus,Common Moorhen,commoo3,203978971,TRUE,tait
Gallinula galeata,Common Gallinule,comgal1,152657871,FALSE,tait/ameerika tait
Gallinula tenebrosa,Dusky Moorhen,dusmoo1,534241901,FALSE,tumetait
Gallinula angulata,Lesser Moorhen,lesmoo1,652241994,FALSE,väiketait
Gallinula melanops,Spot-flanked Gallinule,spfgal1,203988211,FALSE,naerutait
Tribonyx ventralis,Black-tailed Native-hen,btnhen1,499295501,FALSE,austraalia kanatait
†Tribonyx hodgenorum,Hodgen's Waterhen,hodwat1,,FALSE,
Tribonyx mortierii,Tasmanian Native-hen,tanhen1,2902,FALSE,tasmaania kanatait
Fulica cristata,Red-knobbed Coot,rekcoo1,386806321,FALSE,sagarlauk
†Fulica newtonii,Mascarene Coot,mascoo1,,FALSE,
Fulica atra,Common Coot,eurcoo,217023251,TRUE,Lauk
Fulica alai,Hawaiian Coot,hawcoo,39455421,FALSE,havai lauk
Fulica americana,American Coot,y00475,41572901,TRUE,ameerika lauk
Fulica leucoptera,White-winged Coot,whwcoo1,615044193,FALSE,vööttiib-lauk
Fulica ardesiaca,Andean Coot,slccoo1,203930181,FALSE,andi lauk
Fulica armillata,Red-gartered Coot,regcoo1,398565231,FALSE,tähtlauk
Fulica rufifrons,Red-fronted Coot,refcoo1,203986551,FALSE,rägalauk
Fulica gigantea,Giant Coot,giacoo1,204006991,FALSE,suurlauk
Fulica cornuta,Horned Coot,horcoo1,87699,FALSE,sarviklauk
MUSOPHAGIFORMES,,,,FALSE,
MUSOPHAGIDAE,Turacos,,,FALSE,
Corythaeola cristata,Great Blue Turaco,grbtur1,141040,FALSE,hiidturako
Criniferoides leucogaster,White-bellied Go-away-bird,wbgbir1,33651941,FALSE,akaatsiaturako
Crinifer zonurus,Eastern Plantain-eater,easple1,8556,FALSE,ida-rohtlaturako
Crinifer piscator,Western Plantain-eater,wesple1,643442726,FALSE,rohtlaturako
Corythaixoides personatus,Brown-faced Go-away-bird,,,FALSE,maskturako
Corythaixoides leopoldi,Black-faced Go-away-bird,,,FALSE,mustpõsk-turako
Corythaixoides concolor,Grey Go-away-bird,,,FALSE,hallturako
Gallirex porphyreolophus,Purple-crested Turaco,puctur2,203942041,FALSE,aedturako
Gallirex johnstoni,Ruwenzori Turaco,ruwtur2,639327962,FALSE,mägiturako
Tauraco schalowi,Schalow's Turaco,schtur1,611401390,FALSE,smaragdturako
Tauraco hartlaubi,Hartlaub's Turaco,hartur1,8566,FALSE,keenia turako
Tauraco schuetti,Black-billed Turaco,blbtur1,107755,FALSE,mustnokk-turako
Tauraco livingstonii,Livingstone's Turaco,livtur1,208767241,FALSE,roheturako
Tauraco fischeri,Fischer's Turaco,fistur1,637776294,FALSE,rannikuturako
Tauraco corythaix,Knysna Turaco,knytur1,203935591,FALSE,lõunaturako
Tauraco persa,Green Turaco,guitur1,627571712,FALSE,metsturako
Tauraco leucotis,White-cheeked Turaco,whctur1,100334,FALSE,etioopia turako
Tauraco ruspolii,Ruspoli's Turaco,,,FALSE,kadakaturako
Tauraco bannermani,Bannerman's Turaco,bantur1,,FALSE,kameruni turako
Tauraco erythrolophus,Red-crested Turaco,rectur1,502642671,FALSE,vikerturako
Tauraco leucolophus,White-crested Turaco,whctur2,8569,FALSE,valgetutt-turako
Tauraco macrorhynchus,Yellow-billed Turaco,yebtur1,203922931,FALSE,paguturako
Musophaga rossae,Ross's Turaco,rostur1,8561,FALSE,prillturako
Musophaga violacea,Violet Turaco,viotur1,627571721,FALSE,
PSOPHIIDAE,Trumpeters,,,FALSE,
Psophia crepitans,Grey-winged Trumpeter,gywtru1,388331501,FALSE,halltiib-trompetlind
Psophia ochroptera,Ochre-winged Trumpeter,,,FALSE,
Psophia leucoptera,White-winged Trumpeter,pawtru2,110697,FALSE,valgetiib-trompetlind
Psophia viridis,Green-winged Trumpeter,dawtru1,203983181,FALSE,tõmmu-trompetlind
Psophia dextralis,Olive-winged Trumpeter,,,FALSE,
Psophia obscura,Black-winged Trumpeter,,,FALSE,
ARAMIDAE,Limpkin,limpki,73922,TRUE,
Aramus guarauna,Limpkin,limpki,73922,TRUE,ruikkurg
GAVIIFORMES,,,,FALSE,
GAVIIDAE,Loons/Divers,,,FALSE,
GRUIDAE,Cranes,,,FALSE,
Gavia stellata,Red-throated Loon,retloo,138234,FALSE,Punakurk-kaur
Gavia arctica,Black-throated Loon,arcloo,279261871,TRUE,järvekaur/kirdekaur
Gavia pacifica,Pacific Loon,pacloo,31730221,FALSE,kirdekaur
Gavia immer,Common Loon,comloo,33842721,TRUE,Jääkaur
Gavia adamsii,White-billed Loon,yebloo,648381584,FALSE,Tundrakaur
Balearica regulorum,Grey Crowned-crane,grccra1,2737,FALSE,lõuna-kroonkurg
Balearica pavonina,Black Crowned-crane,blccra1,310754,FALSE,põhja-kroonkurg
Leucogeranus leucogeranus,Siberian Crane,sibcra1,322122671,FALSE,valgekurg
Antigone canadensis,Sandhill Crane,sancra,539731,TRUE,kanada kurg
Antigone vipio,White-naped Crane,whncra1,203932671,FALSE,idakurg
Antigone antigone,Sarus Crane,sarcra1,204024641,TRUE,saaruskurg
Antigone rubicunda,Brolga,brolga1,26960611,TRUE,brolgakurg (austraalia kurg)
Bugeranus carunculatus,Wattled Crane,watcra2,21371401,FALSE,lottkurg
Anthropoides paradiseus,Blue Crane,blucra2,203933071,FALSE,paradiisikurg
Anthropoides virgo,Demoiselle Crane,demcra1,203926171,TRUE,neitsikurg
Grus japonensis,Red-crowned Crane,reccra1,21722401,TRUE,õnnekurg (jaapani kurg)
Grus americana,Whooping Crane,whocra,267590321,TRUE,trompetkurg
Grus grus,Common Crane,comcra,205661,TRUE,Sookurg
Grus monacha,Hooded Crane,hoocra1,203932651,FALSE,munkkurg
Grus nigricollis,Black-necked Crane,blncra1,423563901,FALSE,mägikurg
SPHENISCIFORMES,,,,FALSE,
SPHENISCIDAE,Penguins,,,FALSE,
Aptenodytes patagonicus,King Penguin,kinpen1,203899321,FALSE,kuningpingviin
Aptenodytes forsteri,Emperor Penguin,emppen1,388782961,FALSE,keiserpingviin
Pygoscelis papua,Gentoo Penguin,genpen1,203973661,FALSE,eeselpingviin
Pygoscelis adeliae,Adelie Penguin,adepen1,196607,FALSE,adeelia pingviin
Pygoscelis antarcticus,Chinstrap Penguin,chipen2,51673,FALSE,valjaspingviin
Eudyptes schlegeli,Royal Penguin,roypen1,31642031,FALSE,tanupingviin
Eudyptes chrysolophus,Macaroni Penguin,macpen1,204017071,FALSE,tuttpingviin
Eudyptes moseleyi,Northern Rockhopper Penguin,rocpen4,,FALSE,käharpingviin
Eudyptes chrysocome,Southern Rockhopper Penguin,rocpen2,203972091,TRUE,
Eudyptes sclateri,Erect-crested Penguin,bicpen1,364966691,FALSE,kroonpingviin
Eudyptes pachyrhynchus,Fiordland Penguin,fiopen1,373472291,FALSE,kõrvukpingviin
Eudyptes robustus,Snares Penguin,snapen1,141401,FALSE,snaresi kõrvukpingviin
Megadyptes antipodes,Yellow-eyed Penguin,yeepen1,203919671,TRUE,erakpingviin
Eudyptula minor,Little Penguin,litpen1,274612851,TRUE,kääbuspingviin
E. m. albosignata,White-flippered Penguin,,,FALSE,
Spheniscus demersus,African Penguin,jacpen1,563556521,FALSE,aafrika pingviin (prillpingviin)
Spheniscus magellanicus,Magellanic Penguin,magpen1,203973671,FALSE,patagoonia pingviin
Spheniscus humboldti,Humboldt Penguin,humpen1,462845251,FALSE,guaanopingviin
Spheniscus mendiculus,Galapagos Penguin,galpen1,237483,FALSE,galápagose pingviin
OTIDIFORMES,North Island Adzebill,,,FALSE,
OTIDIDAE,Bustards,,,FALSE,
Tetrax tetrax,Little Bustard,litbus1,203900211,TRUE,Väiketrapp
Otis tarda,Great Bustard,grebus1,613266669,FALSE,Suurtrapp
Chlamydotis undulata,African Houbara,houbus1,,FALSE,kraetrapp
Chlamydotis macqueenii,Asian Houbara,macbus1,630567395,FALSE,aasia kraetrapp
Lissotis hartlaubii,Hartlaub's Bustard,harbus2,2905,FALSE,kiltmaa-trapp
Lissotis melanogaster,Black-bellied Bustard,bkbbus1,612461994,FALSE,savannitrapp
Neotis ludwigii,Ludwig's Bustard,ludbus1,,FALSE,mustpea-trapp
Neotis denhami,Denham's Bustard,stabus1,,FALSE,pugaltiib-trapp
Neotis heuglinii,Heuglin's Bustard,heubus1,621304890,FALSE,masktrapp
Neotis nuba,Nubian Bustard,nubbus1,,FALSE,kõrbetrapp
Ardeotis arabs,Arabian Bustard,arabus1,21725621,FALSE,saheli trapp
Ardeotis kori,Kori Bustard,korbus1,31373311,FALSE,hiidtrapp
Ardeotis nigriceps,Great Indian Bustard,indbus1,287143091,TRUE,india trapp
PROCELLARIIFORMES,,,,FALSE,
OCEANITIDAE,Southern Storm-petrels,,,FALSE,tormipääsu sp.
Oceanites oceanicus,Wilson's Storm-petrel,wispet,51676,TRUE,lõuna-tormipääsu
Oceanites gracilis,White-vented Storm-petrel,wvspet1,613219105,FALSE,väike-tormipääsu
Oceanites pincoyae,Pincoya Storm-petrel,pumstp1,614566913,FALSE,
Garrodia nereis,Grey-backed Storm-petrel,gybstp1,,FALSE,rantsaba-tormipääsu
Pelagodroma marina,White-faced Storm-petrel,wfspet,219057791,FALSE,valgekulm-tormipääsu
Fregetta grallaria,White-bellied Storm-petrel,wbspet1,,FALSE,mustpugu-tormipääsu/mustkõht-tormipääsu
Fregetta tropica,Black-bellied Storm-petrel,bbspet1,614852182,FALSE,mustkõht-tormipääsu
Fregetta maoriana,New-Zealand Storm-petrel,nezstp1,633945721,FALSE,
Nesofregetta fuliginosa,Polynesian Storm-petrel,pospet1,569038891,FALSE,polüneesia tormipääsu
Pterodroma cookii,Cook's Petrel,coopet,978,FALSE,hele-tormilind
Pterodroma pycrofti,Pycroft's Petrel,pycpet1,340748951,FALSE,pruuntiib-tormilind
Pterodroma hypoleuca,Bonin Petrel,bonpet,486068291,FALSE,mustlaik-tormilind
Pterodroma nigripennis,Black-winged Petrel,bkwpet,167513,FALSE,hallkael-tormilind
Pterodroma axillaris,Chatham Petrel,chapet1,,FALSE,rangitira tormilind
Pterodroma ultima,Murphy's Petrel,murpet,203897671,FALSE,tuamotu tormilind
Pterodroma solandri,Providence Petrel,solpet1,620273915,FALSE,kilt-tormilind
Pterodroma neglecta,Kermadec Petrel,kerpet,260508441,FALSE,okeaania tormilind
Pterodroma arminjoniana,Trinidade Petrel,tripet1,72149,FALSE,kiritiib-tormilind
Pterodroma heraldica,Herald Petrel,herpet2,636005232,FALSE,kagu-tormilind
Pterodroma atrata,Henderson Petrel,henpet1,203895381,FALSE,hendersoni tormilind
Pterodroma alba,Phoenix Petrel,phopet1,569031111,FALSE,valgekurk-tormilind
Pterodroma baraui,Barau's Petrel,barpet1,,FALSE,réunioni tormilind
Pterodroma inexpectata,Mottled Petrel,motpet,203919741,FALSE,hallkõht-tormilind
Pterodroma sandwichensis,Hawaiian Petrel,hawpet1,480511531,FALSE,maui tormilind
Pterodroma phaeopygia,Galapagos Petrel,galpet,89584,FALSE,lauk-tormilind/maui tormilind
Pterodroma cervicalis,White-necked Petrel,whnpet,,FALSE,valgekael-tormilind
Pterodroma externa,Juan Fernandez Petrel,jufpet,650725737,FALSE,más afuera tormilind/valgekael-tormilind
Pterodroma mollis,Soft-plumaged Petrel,soppet1,293209481,FALSE,samet-tormilind
Pterodroma cahow,Bermuda Petrel,berpet,223921,FALSE,bermuda tormilind
Pterodroma hasitata,Black-capped Petrel,bkcpet,139296,FALSE,tont-tormilind
Pterodroma caribbaea,Jamaican Petrel,bkcpet2,,FALSE,jamaika tormilind
Pterodroma feae,Cape Verde Petrel,feapet3,499766051,FALSE,gongon-tormilind/desertase tormilind
Pterodroma deserta,Desertas Petrel,feapet2,,FALSE,Desertase tormilind
Pterodroma madeira,Zino's Petrel,madpet,486929031,FALSE,madeira tormilind
Pterodroma magentae,Magenta Petrel,magpet1,,TRUE,taiko tormilind
Pterodroma incerta,Atlantic Petrel,atlpet1,,FALSE,pruunpugu-tormilind
Pterodroma lessoni,White-headed Petrel,whhpet1,,FALSE,valgepea-tormilind
Pterodroma macroptera,Great-winged Petrel,grwpet3,646514008,FALSE,pikktiib-tormilind
Pterodroma gouldi,Grey-faced Petrel,grwpet2,337646331,FALSE,
Procellaria cinerea,Grey Petrel,grapet,102179,FALSE,hall-tormilind
Procellaria aequinoctialis,White-chinned Petrel,whcpet1,204018371,FALSE,suur-tormilind
Procellaria conspicillata,Spectacled Petrel,spepet1,,FALSE,valjas-tormilind
