Scientific Name,en,species_code,macaulay_asset_code,wingspan_bird,de
Discosura popelairii,Wire-crested Thorntail,wictho2,509223111,FALSE,Haubenfadenelfe
Discosura langsdorffi,Black-bellied Thorntail,bkbtho1,165607521,FALSE,Brustband-Fadenelfe
Discosura letitiae,Coppery Thorntail,coptho2,,FALSE,Kupferfadenelfe
Discosura longicaudus,Racquet-tailed Coquette,ratcoq2,,FALSE,Diskusfadenelfe
Lophornis ornatus,Tufted Coquette,tufcoq1,143381851,FALSE,Schmuckelfe
Lophornis gouldii,Dot-eared Coquette,doecoq1,361690541,FALSE,Gouldelfe
Lophornis magnificus,Frilled Coquette,fricoq1,203977681,FALSE,Prachtelfe
Lophornis brachylophus,Short-crested Coquette,shccoq,158849241,FALSE,Kurzhaubenelfe
Lophornis delattrei,Rufous-crested Coquette,ruccoq1,64360951,TRUE,Zierelfe
Lophornis stictolophus,Spangled Coquette,spacoq1,203930131,FALSE,Glanzelfe
Lophornis chalybeus,Festive Coquette,fescoq3,460903011,FALSE,Schmetterlingselfe
Lophornis verreauxi,Butterfly Coquette,fescoq2,610286872,FALSE,Grünschopfelfe
Lophornis pavoninus,Peacock Coquette,peacoq1,,FALSE,Pfauenelfe
Lophornis helenae,Black-crested Coquette,blccoq1,486349691,FALSE,Schwarzschopfelfe
Lophornis adorabilis,White-crested Coquette,whccoq1,49401981,FALSE,Weißschopfelfe
Phlogophilus hemileucurus,Ecuadorian Piedtail,ecupie1,219926541,FALSE,Schwarzweißschwanz-Kolibri
Phlogophilus harterti,Peruvian Piedtail,perpie1,65738441,FALSE,Hartertkolibri
Adelomyia melanogenys,Speckled Hummingbird,spehum1,92178,TRUE,Schwarzohrkolibri
Aglaiocercus kingi,Long-tailed Sylph,lotsyl1,203930051,TRUE,Himmelssylphe
Aglaiocercus coelestis,Violet-tailed Sylph,vitsyl1,649000331,FALSE,Langschwanzsylphe
Aglaiocercus berlepschi,Venezuelan Sylph,vensyl1,388516961,FALSE,Berlepschsylphe
Sappho sparganurus,Red-tailed Comet,retcom1,203961961,TRUE,Goldschwanzsylphe
Taphrolesbia griseiventris,Grey-bellied Comet,gybcom1,204012141,FALSE,Graubauchsylphe
Polyonymus caroli,Bronze-tailed Comet,brtcom1,203934231,FALSE,Rosenkehlsylphe
Oreotrochilus chimborazo,Ecuadorian Hillstar,ecuhil1,84879381,FALSE,Purpurkopfkolibri
Oreotrochilus estella,Andean Hillstar,andhil3,165577221,FALSE,Estellakolibri
Oreotrochilus stolzmanni,Green-headed Hillstar,andhil2,621412844,FALSE,Grünkopfkolibri
Oreotrochilus leucopleurus,White-sided Hillstar,whshil1,441591771,FALSE,Weißflankenkolibri
Oreotrochilus melanogaster,Black-breasted Hillstar,blbhil1,31743991,FALSE,Schwarzbrustkolibri
Oreotrochilus adela,Wedge-tailed Hillstar,wethil1,84880271,FALSE,Rotflankenkolibri
Opisthoprora euryptera,Mountain Avocetbill,mouavo1,613768141,FALSE,Fleckenbauchkolibri
Lesbia victoriae,Black-tailed Trainbearer,blttra1,203700851,FALSE,Schwarzschwanzsylphe
Lesbia nuna,Green-tailed Trainbearer,grttra1,598051021,FALSE,Grünschwanzsylphe
Ramphomicron dorsale,Black-backed Thornbill,blbtho1,84880671,FALSE,Schwarzrückenkolibri
Ramphomicron microrhynchum,Purple-backed Thornbill,pubtho1,626786316,FALSE,Kurzschnabelkolibri
Chalcostigma ruficeps,Rufous-capped Thornbill,ructho1,523108281,FALSE,Kastanienkappen-Glanzschwänzchen
Chalcostigma olivaceum,Olivaceous Thornbill,olitho1,638017728,FALSE,Braunglanzschwänzchen
Chalcostigma stanleyi,Blue-mantled Thornbill,blmtho1,84880901,FALSE,Schwarzkopf-Glanzschwänzchen
Chalcostigma heteropogon,Bronze-tailed Thornbill,brttho1,540583771,FALSE,Bronzeglanzschwänzchen
Chalcostigma herrani,Rainbow-bearded Thornbill,rabtho1,611063220,FALSE,Weißspitzen-Glanzschwänzchen
Oxypogon cyanolaemus,Blue-bearded Helmetcrest,bubhel1,303941331,FALSE,Blaubart-Helmkolibri
Oxypogon lindenii,White-bearded Helmetcrest,whbhel1,391183001,FALSE,Weißbart-Helmkolibri
Oxypogon guerinii,Green-bearded Helmetcrest,gnbhel1,384062661,FALSE,Grünbart-Helmkolibri
Oxypogon stuebelii,Buffy Helmetcrest,bufhel1,616219697,FALSE,Violettbart-Helmkolibri
Oreonympha albolimbata,Western Mountaineer,,,FALSE,
Oreonympha nobilis,Eastern Mountaineer,beamou1,509371071,FALSE,Weißhalssylphe
Metallura iracunda,Perija Metaltail,permet1,556728541,FALSE,Rotschwanz-Glanzschwänzchen
Metallura tyrianthina,Tyrian Metaltail,tyrmet1,410603821,FALSE,Smaragdkehl-Glanzschwänzchen
Metallura williami,Viridian Metaltail,virmet1,619694911,FALSE,Grünglanzschwänzchen
Metallura baroni,Violet-throated Metaltail,vitmet1,617942177,FALSE,Violettkehl-Glanzschwänzchen
Metallura odomae,Neblina Metaltail,nebmet1,84881551,FALSE,Purpurkehl-Glanzschwänzchen
Metallura theresiae,Coppery Metaltail,copmet1,17295,FALSE,Kupferglanzschwänzchen
Metallura eupogon,Fire-throated Metaltail,fitmet1,195169,FALSE,Feuerkehl-Glanzschwänzchen
Metallura aeneocauda,Scaled Metaltail,scamet1,62954831,FALSE,Schuppenbauch-Glanzschwänzchen
Metallura phoebe,Black Metaltail,blamet1,306137321,FALSE,Schwarzbauch-Glanzschwänzchen
Haplophaedia aureliae,Greenish Puffleg,grepuf1,273721781,FALSE,Kupferglanz-Höschenkolibri
Haplophaedia assimilis,Buff-thighed Puffleg,butpuf1,613953397,FALSE,Fahlschenkel-Höschenkolibri
Haplophaedia lugens,Hoary Puffleg,hoapuf1,203694061,FALSE,Schuppenbauch-Höschenkolibri
Eriocnemis nigrivestis,Black-breasted Puffleg,blbpuf3,42406621,FALSE,Schwarzbauch-Höschenkolibri
Eriocnemis isabellae,Gorgeted Puffleg,gorpuf1,,FALSE,Schmuckkehl-Höschenkolibri
Eriocnemis vestita,Glowing Puffleg,glopuf2,246687,FALSE,Violettkehl-Höschenkolibri
Eriocnemis derbyi,Black-thighed Puffleg,bltpuf1,203963601,FALSE,Schwarzfeder-Höschenkolibri
Eriocnemis godini,Turquoise-throated Puffleg,tutpuf1,,FALSE,Schwarzbauch-Höschenkolibri
Eriocnemis cupreoventris,Coppery-bellied Puffleg,cobpuf1,416567381,FALSE,Kupferbauch-Höschenkolibri
Eriocnemis luciani,Sapphire-vented Puffleg,savpuf1,84883511,FALSE,Langschwanz-Höschenkolibri
Eriocnemis sapphiropygia,Coppery-naped Puffleg,,,FALSE,Langschwanz-Höschenkolibri (sapphiropygia/catharina)
Eriocnemis mosquera,Golden-breasted Puffleg,gobpuf1,25744901,FALSE,Goldbrust-Höschenkolibri
Eriocnemis glaucopoides,Blue-capped Puffleg,blcpuf1,652361941,FALSE,Blaustirn-Höschenkolibri
Eriocnemis mirabilis,Colorful Puffleg,colpuf2,,FALSE,Blaubauch-Höschenkolibri
Eriocnemis alinae,Emerald-bellied Puffleg,embpuf1,288265441,FALSE,Weißbrust-Höschenkolibri
Loddigesia mirabilis,Marvellous Spatuletail,marspa1,84883751,TRUE,Violettscheitel-Flaggensylphe
Aglaeactis cupripennis,Shinning Sunbeam,shisun1,613305731,TRUE,Rostkolibri
Aglaeactis castelnaudii,White-tufted Sunbeam,whtsun1,631432341,FALSE,Tropfenbrustkolibri
Aglaeactis aliciae,Purple-backed Sunbeam,pubsun1,84884941,FALSE,Maronenkolibri
Aglaeactis pamela,Black-hooded Sunbeam,blhsun1,647135282,FALSE,Schwarzkopfkolibri
Coeligena coeligena,Bronzy Inca,broinc1,387654241,FALSE,Bronzekolibri
Coeligena prunellei,Black Inca,blainc1,300705,FALSE,Blauschulterkolibri
Coeligena wilsoni,Brown Inca,broinc2,203699391,FALSE,Braunkolibri
Coeligena conradii,Green Inca,colinc4,617069625,FALSE,Mérida-Andenkolibri
Coeligena torquata,Collared Inca,colinc1,203929941,FALSE,Violettscheitelkolibri
Coeligena eisenmanni,Vilcabamba Inca,,,FALSE,
Coeligena inca,Gould's Inca,colinc3,646297913,FALSE,Inkaandenkolibri
Coeligena dichroura,Huanuco Starfrontlet,,,FALSE,
Coeligena albicaudata,Apurimac Starfrontlet,,,FALSE,
Coeligena osculans,Cuzco Starfrontlet,,,FALSE,
Coeligena violifer,Bolivian Starfrontlet,vitsta1,65278,FALSE,Veilchenkehlkolibri
Coeligena iris,Rainbow Starfrontlet,raista1,471606871,FALSE,Regenbogenkolibri
Coeligena phalerata,White-tailed Starfrontlet,whtsta1,203963541,FALSE,Türkiskronkolibri
Coeligena orina,Glittering Starfrontlet,dussta1,204007161,FALSE,Antioquiakolibri
Coeligena lutetiae,Buff-winged Starfrontlet,buwsta1,613767150,FALSE,Fahlflügelkolibri
Coeligena consita,Perija Starfrontlet,gobsta2,631573286,FALSE,Perija-Andenkolibri
Coeligena bonapartei,Golden-bellied Starfrontlet,gobsta1,348554411,FALSE,Goldbauchkolibri
Coeligena eos,Golden Starfrontlet,gobsta4,617069693,FALSE,Goldandenkolibri
Coeligena helianthea,Blue-throated Starfrontlet,bltsta1,622757807,FALSE,Rosenbauchkolibri
Lafresnaya lafresnayi,Mountain Velvetbreast,mouvel1,478693941,FALSE,Samtbauchkolibri
Ensifera ensifera,Sword-billed Hummingbird,swbhum1,630687397,TRUE,Schwertschnabelkolibri
Pterophanes cyanopterus,Great Sapphirewing,gresap1,242708,FALSE,Blauflügelkolibri
Boissonneaua flavescens,Buff-tailed Coronet,butcor1,80839,FALSE,Fahlschwanzkolibri
Boissonneaua matthewsii,Chestnut-breasted Coronet,chbcor1,25848001,FALSE,Rotbauchkolibri
Boissonneaua jardini,Velvet-purple Coronet,vepcor1,203699351,FALSE,Hyazinthkolibri
Ocreatus underwoodii,Booted Racquet-tail,boorat1,203699311,TRUE,Grünscheitel-Flaggensylphe
Urochroa bougueri,Rufous-gaped Hillstar,whthil2,633126098,FALSE,Orangerachenkolibri
Urochroa leucura,White-tailed Hillstar,whthil3,494807461,FALSE,Bronzebürzelkolibri
Urosticte benjamini,Purple-bibbed Whitetip,pubwhi1,210787651,FALSE,Purpurbrustkolibri
Urosticte ruficrissa,Rufous-vented Whitetip,ruvwhi1,21621221,FALSE,Rotsteißkolibri
Heliodoxa xanthogonys,Velvet-browed Brilliant,vebbri1,388976741,FALSE,Samtstirn-Brillantkolibri
Heliodoxa gularis,Pink-throated Brilliant,pitbri1,380307421,FALSE,Rotkehl-Brillantkolibri
Heliodoxa branickii,Rufous-webbed Brilliant,ruwbri1,65737051,FALSE,Rotflügel-Brillantkolibri
Heliodoxa whitelyana,Black-breasted Brilliant,,,FALSE,
Heliodoxa aurescens,Gould's Brilliant,goujew1,627805552,FALSE,Rotbrust-Brillantkolibri
Heliodoxa rubinoides,Fawn-breasted Brilliant,fabbri1,203956401,FALSE,Braunbauch-Brillantkolibri
Heliodoxa jacula,Green-fronted Brilliant,grcbri1,163948,FALSE,Grünstirn-Brillantkolibri
Heliodoxa imperatrix,Empress Brilliant,empbri1,626873747,FALSE,Rotstern-Brillantkolibri
Heliodoxa leadbeateri,Violet-fronted Brilliant,vifbri1,127814,FALSE,Violettstirn-Brillantkolibri
Clytolaema rubricauda,Brazilian Ruby,brarub1,112700,FALSE,Rubinkolibri
Patagona gigas,Giant Hummingbird,giahum1,11057,FALSE,Riesenkolibri
Chlorostilbon auriceps,Golden-crowned Emerald,goceme1,159288451,FALSE,Goldscheitel-Smaragdkolibri
Chlorostilbon fortificatus,Cozumel Emerald,cozeme1,609053805,FALSE,
Chlorostilbon canivetii,Canivet's Emerald,caneme1,151009451,FALSE,
Chlorostilbon assimilis,Garden Emerald,gareme1,628700691,FALSE,Gartensmaragdkolibri
Chlorostilbon gibsoni,Red-billed Emerald,rebeme1,541130961,FALSE,Kolumbiensmaragdkolibri
Chlorostilbon mellisugus,Blue-tailed Emerald,blteme1,305877971,FALSE,Blauschwanz-Smaragdkolibri
Chlorostilbon olivaresi,Chiribiquete Emerald,chieme1,422060681,FALSE,Chiribiquete-Smaragdkolibri
†Chlorostilbon bracei,Brace's Emerald,braeme2,,FALSE,
†Chlorostilbon elegans,Caribbean Emerald,,,FALSE,
Chlorostilbon ricordii,Cuban Emerald,cubeme1,89306271,FALSE,
Chlorostilbon swainsonii,Hispaniolan Emerald,hiseme1,163140711,FALSE,Hispaniolasmaragdkolibri
Chlorostilbon maugaeus,Puerto Rican Emerald,pureme1,53816,FALSE,Puerto-Rico-Smaragdkolibri
Chlorostilbon lucidus,Glittering-bellied Emerald,glbeme1,400379251,FALSE,Goldbauch-Smaragdkolibri
Chlorostilbon russatus,Coppery Emerald,copeme1,167298,FALSE,Bronzeschwanz-Smaragdkolibri
Chlorostilbon stenurus,Narrow-tailed Emerald,nateme2,642973712,FALSE,Schmalschwanz-Smaragdkolibri
Chlorostilbon poortmani,Short-tailed Emerald,shteme1,265782,FALSE,Grünschwanz-Smaragdkolibri
Chlorostilbon notatus,Blue-chinned Sapphire,bucsap1,88272,FALSE,Blaukinn-Smaragdkolibri
Cynanthus sordidus,Dusky Hummingbird,dushum1,330351261,FALSE,Graukolibri
Cynanthus latirostris,Broad-billed Hummingbird,brbhum,121949,FALSE,Breitschnabel-/Blaugesichtkolibri
Cynanthus doubledayi,Turquoise-crowned Hummingbird,brbhum2,157625291,FALSE,Blaugesichtkolibri
Cynanthus lawrencei,Tres Marias Hummingbird,brbhum3,,FALSE,Türkiskehl-Breitschnabelkolibri
Cyanophaia bicolor,Blue-headed Hummingbird,blhhum1,602427421,FALSE,Blaukopfkolibri
Klais guimeti,Violet-headed Hummingbird,vihhum1,136301011,FALSE,Violettkopfkolibri
Abeillia abeillei,Emerald-chinned Hummingbird,emchum1,86679,FALSE,Smaragdkehlkolibri
Orthorhyncus cristatus,Antillean Crested Hummingbird,anchum1,204013441,FALSE,Antillenhaubenkolibri
Stephanoxis lalandi,Green-crowned Plovercrest,plover3,640929511,FALSE,Grünhaubenelfe
Stephanoxis loddigesii,Purple-Crowned Plovercrest,plover4,203700671,TRUE,Violetthaubenelfe
Aphantochroa cirrochloris,Sombre Hummingbird,somhum1,24648421,FALSE,Erzkolibri
Anthocephala floriceps,Blossomcrown,samblo1,632679875,FALSE,Blassstirnkolibri
Campylopterus cuvierii,Scaly-breasted Hummingbird,scbhum1,207693221,FALSE,Schuppenbrustkolibri
Campylopterus curvipennis,Wedge-tailed Sabrewing,wetsab1,245541241,FALSE,Blaukron-Degenflügel
Campylopterus largipennis,Grey-breasted Sabrewing,gybsab1,114922,FALSE,Graubrust-Degenflügel
Campylopterus rufus,Rufous Sabrewing,rufsab1,104,FALSE,Buntschwanz-Degenflügel
Campylopterus hyperythrus,Rufous-breasted Sabrewing,rubsab1,364592861,FALSE,Rostbauch-Degenflügel
Campylopterus hemileucurus,Violet Sabrewing,viosab1,212321211,TRUE,Violettdegenflügel
Campylopterus ensipennis,White-tailed Sabrewing,whtsab1,390117281,FALSE,Weißschwanz-Degenflügel
Campylopterus falcatus,Lazuline Sabrewing,lazsab1,473464091,FALSE,Rotschwanz-Degenflügel
Campylopterus phainopeplus,Santa Marta Sabrewing,samsab1,615897668,FALSE,Santa-Marta-Degenflügel
Campylopterus villaviscensio,Napo Sabrewing,napsab1,203933941,FALSE,Napodegenflügel
Campylopterus duidae,Buf-breasted Sabrewing,bubsab1,251698811,FALSE,Tepuidegenflügel
Eupetomena macroura,Swallow-tailed Hummingbird,swthum1,615734079,TRUE,Gabelschwanzkolibri
Eupherusa eximia,Stripe-tailed Hummingbird,stthum1,338084711,FALSE,Streifenschwanzkolibri
Eupherusa cyanophrys,Oaxaca Hummingbird,blchum2,314995221,FALSE,Blauscheitelkolibri
Eupherusa poliocerca,White-tailed Hummingbird,whthum1,159540581,FALSE,Weißschwanzkolibri
Eupherusa nigriventris,Black-bellied Hummingbird,blbhum1,49396831,FALSE,Schwarzbauchkolibri
Elvira chionura,White-tailed Emerald,whteme1,550101281,FALSE,Elvirakolibri
Elvira cupreiceps,Coppery-headed Emerald,coheme1,514574641,FALSE,Bronzekappenkolibri
Microchera albocoronata,Snowcap,snowca1,411448361,TRUE,Schneekappenkolibri
Chalybura buffonii,White-vented Plumeleteer,whvplu1,384086621,FALSE,Blauschwanz-Buffonkolibri
Chalybura urochrysia,Bronze-tailed Plumeleteer,brtplu1,614945172,FALSE,Bronzeschwanz-Buffonkolibri
Thalurania ridgwayi,Mexican Woodnymph,mexwoo1,321021151,FALSE,Mexikonymphe
Thalurania colombica,Crowned Woodnymph,crowoo1,457019911,TRUE,Violettkronennymphe
Thalurania furcata,Fork-tailed Woodnymph,fotwoo1,387922001,FALSE,Schwalbennymphe
Thalurania watertonii,Long-tailed Woodnymph,lotwoo2,297604711,FALSE,Langschwanznymphe
Thalurania glaucopis,Violet-capped Woodnymph,vicwoo2,610870185,FALSE,Blaukronennymphe
Taphrospilus hypostictus,Many-spotted Hummingbird,mashum1,203931821,FALSE,Tropfenkolibri
Leucochloris albicollis,White-throated Hummingbird,whthum2,111487911,FALSE,Weißkehlkolibri
Leucippus fallax,Buffy Hummingbird,bufhum1,385687761,FALSE,Zimtbrustkolibri
Leucippus baeri,Tumbes Hummingbird,tumhum1,13285,FALSE,Baerkolibri
Leucippus taczanowskii,Spot-throated Hummingbird,spthum2,148395101,FALSE,Taczanowskikolibri
Leucippus chlorocercus,Olive-spotted Hummingbird,olshum1,127581,FALSE,Fleckenkolibri
Amazilia chionogaster,White-bellied Hummingbird,whbhum1,183293,FALSE,Weißbauchamazilie
Amazilia viridicauda,Green-and-white Hummingbird,gawhum1,40116,FALSE,Grünweißamazilie
Amazilia tzacatl,Rufous-tailed Hummingbird,rtlhum,6106,TRUE,Braunschwanzamazilie
Amazilia castaneiventris,Chestnut-bellied Hummingbird,chbhum1,259282691,FALSE,Braunbauchamazilie
Amazilia yucatanensis,Buff-bellied Hummingbird,bubhum,23954441,FALSE,Fahlbauchamazilie
Amazilia rutila,Cinnamon Hummingbird,cinhum1,199442,TRUE,Zimtbauchamazilie
Amazilia amazilia,Amazilia Hummingbird,amahum1,84904151,FALSE,Rostbauchamazilie
Amazilia leucogaster,Plain-bellied Emerald,plbeme1,172069741,FALSE,Hellbauchamazilie
Amazilia versicolor,Versicolored Emerald,vereme1,90496871,FALSE,Glanzamazilie
Amazilia brevirostris,White-chested Emerald,whceme1,221649,FALSE,Kurzschnabelamazilie
Amazilia franciae,Andean Emerald,andeme1,18035,FALSE,Andenamazilie
Amazilia candida,White-bellied Emerald,whbeme1,207695311,FALSE,Bronzekopfamazilie
Amazilia luciae,Honduran Emerald,honeme1,519021121,FALSE,Hondurasamazilie
Amazilia boucardi,Mangrove Hummingbird,manhum1,242225651,FALSE,Mangrovenamazilie
Amazilia amabilis,Blue-chested Hummingbird,blchum1,203095391,FALSE,
Amazilia decora,Charming Hummingbird,chahum1,48154691,FALSE,Schmuckamazilie
Amazilia cyanocephala,Azure-crowned Hummingbird,azchum1,166718011,FALSE,Blaukopfamazilie
Amazilia beryllina,Berylline Hummingbird,berhum,291644941,FALSE,Beryllamazilie
Amazilia cyanura,Blue-tailed Hummingbird,blthum1,177937741,FALSE,Blauschwanzamazilie
Amazilia saucerrottei,Steely-vented Hummingbird,stvhum2,387654421,FALSE,
Amazilia cyanifrons,Indigo-capped Hummingbird,inchum1,469509331,FALSE,
Amazilia violiceps,Violet-crowned Hummingbird,vichum,245428751,FALSE,Veilchenscheitelamazilie
Amazilia viridifrons,Green-fronted Hummingbird,grfhum1,47719331,FALSE,Grünscheitelamazilie
Amazilia wagneri,Cinnamon-sided Hummingbird,,,FALSE,Grünscheitelamazilie (wagneri)
Amazilia fimbriata,Glittering-throated Emerald,glteme1,315889311,FALSE,
Amazilia lactea,Sapphire-spangled Emerald,saseme1,494469371,FALSE,Saphiramazilie
Amazilia bartletti,Spot-vented Emerald,,,FALSE,Saphiramazilie (bartletti)
Amazilia rosenbergi,Purple-chested Hummingbird,puchum1,245905,FALSE,Rosenbergamazilie
Amazilia edward,Snowy-bellied Hummingbird,snbhum1,167226701,FALSE,Edwardamazilie
Amazilia viridigaster,Green-bellied Hummingbird,grbhum1,165334091,FALSE,
Amazilia cupreicauda,Copper-tailed Hummingbird,gnbhum2,141887291,FALSE,Kupferschwanzamazilie
Amazilia tobaci,Copper-rumped Hummingbird,corhum1,366083081,FALSE,Kupferbürzelamazilie
Amazilia sapphirina,Rufous-throated Hummingbird,,,FALSE,Rotkehl-Saphirkolibri
Amazilia humboldtii,Humboldt's Hummingbird,,,FALSE,Humboldtsaphirkolibri
Amazilia grayi,Gray's Hummingbird,,,FALSE,Blaukopf-Saphirkolibri
Trochilus polytmus,Red-billed Streamertail,stream2,173316381,FALSE,Rotschnabel-/Schwarzschnabel-Jamaikasylphe
Trochilus scitulus,Black-billed Streamertail,stream3,204456,FALSE,Schwarzschnabel-Jamaikasylphe
Chrysuronia oenone,Golden-tailed Sapphire,gotsap1,68846,FALSE,Bronzeschwanz-Saphirkolibri
Goethalsia bella,Pirre Hummingbird,ruchum1,195030421,FALSE,Rotgesichtkolibri
Goldmania violiceps,Violet-capped Hummingbird,vichum1,51649,FALSE,Violettkappenkolibri
Lepidopyga coeruleogularis,Sapphire-throated Hummingbird,sathum1,621885575,FALSE,
Lepidopyga lilliae,Sapphire-bellied Hummingbird,sabhum1,167379,FALSE,Blaubauchkolibri
Lepidopyga goudoti,Shining-green Hummingbird,shghum1,395654271,FALSE,Grünkolibri
Juliamyia julie,Violet-belied Hummingbird,,,FALSE,Juliakolibri
Hylocharis eliciae,Blue-throated Goldentail,bltgol1,51785961,FALSE,Purpurstirn-Saphirkolibri
Hylocharis cyanus,White-chinned Sapphire,whcsap1,624733747,FALSE,Rotkehl-Saphirkolibri
Hylocharis chrysura,Gilded Hummingbird,gilhum1,114385521,TRUE,Goldsaphirkolibri
Basilinna xantusii,Xanthus's Hummingbird,xanhum,616382357,FALSE,Schwarzstirn-Saphirkolibri
Basilinna leucotis,White-eared Hummingbird,whehum,373787061,FALSE,Purpurstirn-Saphirkolibri
Sternoclyta cyanopectus,Violet-chested Hummingbird,vichum2,287226,FALSE,Veilchenbrustkolibri
Hylonympha macrocerca,Scissor-tailed Hummingbird,scthum1,382591891,FALSE,Scherenschwanznymphe
Eugenes fulgens,Magnificent Hummingbird,maghum1,401927741,FALSE,Violettkron-Brillantkolibri
Panterpe insignis,Fiery-throated Hummingbird,fithum1,46235681,TRUE,Feuerkehlkolibri
Heliomaster constantii,Plain-capped Starthroat,plcsta,109155,FALSE,Funkenkehlkolibri
Heliomaster longirostris,Long-billed Starthroat,lobsta1,451442311,FALSE,Rosenkehlkolibri
Heliomaster squamosus,Stripe-breasted Starthroat,stbsta1,520946891,TRUE,Violettkehlkolibri
Heliomaster furcifer,Blue-tufted Starthroat,bltsta2,217496,TRUE,Blaubartkolibri
Lampornis viridipallens,Green-throated Mountain-gem,gtmgem1,101,FALSE,Grünkehlnymphe
Lampornis sybillae,Green-breasted Mountain-gem,gbmgem1,141285911,FALSE,Grünbrustnymphe
Lampornis amethystinus,Amethyst-throated Hummingbird,amthum1,615523568,FALSE,Rotkehlnymphe
Lampornis clemenciae,Blue-throated Hummingbird,buthum,452435381,FALSE,Blaukehlnymphe
Lampornis hemileucus,White-bellied Mountain-gem,wbmgem1,558718511,FALSE,Veilchenkehlnymphe
Lampornis calolaemus,Purple-throated Mountain-gem,ptmgem,72830,FALSE,Purpurkehlnymphe
Lampornis cinereicauda,Grey-tailed Mountain-gem,,,FALSE,Weißkehlnymphe (Grauschwanznymphe)
Lampornis castaneoventris,White-throated Mountain-gem,wtmgem1,615159475,FALSE,Weißkehlnymphe
Lamprolaima rhami,Garnet-throated Hummingbird,gathum1,362559071,FALSE,Granatkehlkolibri
Myrtis fanny,Purple-collared Woodstar,pucwoo1,630769732,FALSE,Türkiskehlelfe
Eulidia yarrellii,Chilean Woodstar,chiwoo1,651868516,FALSE,Aricaelfe
Rhodopis vesper,Oasis Hummingbird,oashum1,439762321,TRUE,Atacamakolibri
Thaumastura cora,Peruvian Sheartail,pershe2,439751101,FALSE,Corakolibri
Chaetocercus mulsant,White-bellied Woodstar,whbwoo6,509223161,TRUE,Weißbauchelfe
Chaetocercus bombus,Little Woodstar,litwoo5,203979441,FALSE,Hummelelfe
Chaetocercus heliodor,Gorgeted Woodstar,gorwoo2,68289161,FALSE,Prachtkehlelfe
Chaetocercus astreans,Santa Marta Woodstar,samwoo2,608697168,FALSE,Santa-Marta-Elfe
Chaetocercus berlepschi,Esmeraldas Woodstar,esmwoo2,471713701,FALSE,Esmeraldaselfe
Chaetocercus jourdanii,Rufous-shafted Woodstar,ruswoo1,249144041,FALSE,Rotfahnenelfe
Myrmia micrura,Short-tailed Woodstar,shtwoo1,471976321,TRUE,Kurzschwanzelfe
Microstilbon burmeisteri,Slender-tailed Woodstar,sltwoo1,617549628,FALSE,Rotbart-Sternkolibri
Calliphlox amethystina,Amethyst Woodstar,amewoo1,622627532,TRUE,Amethyststernkolibri
Calliphlox evelynae,Bahama Woodstar,bahwoo,32872721,FALSE,
Calliphlox bryantae,Magenta-throated Woodstar,matwoo1,469921491,FALSE,Violettkehl-Sternkolibri
Calliphlox mitchellii,Purple-throated Woodstar,putwoo1,203699321,FALSE,Purpurkehl-Sternkolibri
Doricha enicura,Slender Sheartail,sleshe1,474780291,FALSE,Scherenschwanz-Sternkolibri
Doricha eliza,Mexican Sheartail,mexshe1,33207121,FALSE,Rosenkehl-Sternkolibri
Tilmatura dupontii,Sparkling-tailed Woodstar,spthum1,85419291,FALSE,Blaukehl-Sternkolibri
Calothorax lucifer,Lucifer Hummingbird,luchum,456261851,FALSE,Luzifersternkolibri
Calothorax pulcher,Beautiful Hummingbird,beahum1,475161391,FALSE,Schmucksternkolibri
Mellisuga minima,Vervain Hummingbird,verhum1,203886251,FALSE,Zwergelfe
Mellisuga helenae,Bee Hummingbird,beehum1,121901,TRUE,Bienenelfe
Calypte anna,Anna's Hummingbird,annhum,406556071,TRUE,Annakolibri
Calypte costae,Costa's Hummingbird,coshum,203939681,FALSE,Veilchenkopfelfe
Archilochus alexandri,Black-chinned Hummingbird,bkchum,220757581,TRUE,Schwarzkinnkolibri
Archilochus colubris,Ruby-throated Hummingbird,rthhum,604314061,TRUE,Rubinkehlkolibri
Selasphorus platycercus,Broad-tailed Hummingbird,brthum,303538531,FALSE,Breitschwanzelfe
Selasphorus calliope,Calliope Hummingbird,calhum,283565581,FALSE,Sternelfe
Selasphorus rufus,Rufous Hummingbird,rufhum,457241371,TRUE,Rotrücken-Zimtelfe
Selasphorus sasin,Allen's Hummingbird,allhum,123291231,FALSE,Grünrücken-Zimtelfe
Selasphorus flammula,Volcano Hummingbird,volhum1,49402841,FALSE,Vulkanelfe
Selasphorus scintilla,Scintillant Hummingbird,scihum1,186080321,FALSE,Orangekehlelfe
Selasphorus ardens,Glow-throated Hummingbird,glthum1,616224105,FALSE,Feuerkehlelfe
Atthis heloisa,Bumblebee Hummingbird,bumhum,203996491,FALSE,Rosenkehlelfe
Atthis ellioti,Wine-throated Hummingbird,withum1,20352,FALSE,Elliotelfe
OPISTHOCOMIFORMES,,,,FALSE,
Opisthocomus hoazin,Hoatzin,hoatzi1,325134081,TRUE,Hoatzin
Clamator jacobinus,Jacobin Cuckoo,piecuc1,8204,FALSE,Jakobinerkuckuck
Clamator levaillantii,Levaillant's Cuckoo,levcuc1,8206,FALSE,Kapkuckuck
Clamator coromandus,Chestnut-winged Cuckoo,chwcuc1,618704316,FALSE,Koromandelkuckuck
